Year,Category,Provincial government ,Federal direct ,Municipal government ,Social security funds ,Public-sector total,Private-sector ,Total 
1980,A.2.3: Expenditure by year,644.2325118,23.74287462,9.544913322000001,9.451452792000001,686.9717525000001,222.5692438,909.5409963999999
1981,A.2.3: Expenditure by year,751.6195251,27.90819025,11.09502364,12.85344782,803.4761867999999,255.19789939999998,1058.674086
1982,A.2.3: Expenditure by year,875.9704810000001,34.03239669,9.986757581,13.49878013,933.4884153999999,291.1240455,1224.612461
1983,A.2.3: Expenditure by year,966.2239697999998,39.22069878,8.759703502999999,13.90470496,1028.1090769999998,313.7383889,1341.847466
1984,A.2.3: Expenditure by year,1024.8482789999998,43.19522513,8.377749382000001,15.31794622,1091.739199,343.1108855,1434.850085
1985,A.2.3: Expenditure by year,1091.323692,44.79675643,10.56749187,17.87559355,1164.563534,377.16057810000007,1541.7241119999999
1986,A.2.3: Expenditure by year,1168.586481,48.303938200000005,11.88433156,17.50824503,1246.2829960000001,414.1089478,1660.391943
1987,A.2.3: Expenditure by year,1240.957831,51.0318696,15.296846100000002,18.12822189,1325.4147679999999,443.629963,1769.044731
1988,A.2.3: Expenditure by year,1336.281953,56.83233949,11.32639554,19.82215435,1424.262842,477.5599534,1901.8227960000002
1989,A.2.3: Expenditure by year,1441.696328,61.82133417,11.96523487,20.77523716,1536.258134,519.9197055,2056.177839
1990,A.2.3: Expenditure by year,1535.743849,71.14109722,13.16420131,23.26714536,1643.3162929999999,562.399501,2205.715794
1991,A.2.3: Expenditure by year,1652.589201,75.27351555,13.36556799,25.73705381,1766.965339,603.1421952000001,2370.1075339999998
1992,A.2.3: Expenditure by year,1707.685273,77.55174709,13.99341209,24.79125202,1824.021684,638.4907887999999,2462.512473
1993,A.2.3: Expenditure by year,1694.1619210000001,79.52425367,13.37862464,23.87423247,1810.939032,682.5945902000001,2493.533622
1994,A.2.3: Expenditure by year,1687.421534,86.89223481,15.38196247,23.64631369,1813.3420449999999,709.4763662,2522.8184109999997
1995,A.2.3: Expenditure by year,1675.2106800000001,91.01589112,13.47552001,24.50337653,1804.2054679999999,729.2989898,2533.504458
