Year ,Category,Hospitals ,Other Institutions ,Physicians ,Other Professionals: Dental Services ,Other Professionals: Vision Care Services ,Other Professionals: Other services,Total Other Professionals,Prescribed Drugs ,Over-the-Counter Drugs,Drugs: Personal Health Supplies,Total Drugs,Capital ,Public Health ,Administration ,Other health spending: Health Research ,Other health spending: Other Health Care Goods,Other health spending: Other Health Care Services,Total Other Health Spending,Grand Total 
1998,H.2: Expenditure by year,560.7070378999999,2210.335286,142.81906,2525.20195,1665.504572,580.6835,4771.390022,2223.01382,1661.681782,1509.665045,5394.3606469999995,0.0,,0.0,0.0,170.5813322,212.58229359999999,383.16362569999995,13462.77568
1999,H.2: Expenditure by year,563.5756418,2395.983686,152.23828,2869.58291,1701.4398800000001,716.77435,5287.79714,2302.02929,1782.118781,1576.699867,5660.847938,0.0,,0.0,0.0,177.8326705,276.01462000000004,453.84729050000004,14514.289980000001
2000,H.2: Expenditure by year,588.1044373,2650.177823,174.24929,2998.187201,1860.477645,711.4860407000001,5570.150886,2562.540465,1815.2468579999997,1605.0134,5982.800722999999,0.0,,0.0,0.0,205.6976316,281.24021,486.9378416,15452.421
2001,H.2: Expenditure by year,583.0774236000001,2719.932085,146.44863,3169.91958,1954.66855,852.60745,5977.19558,2613.54383,1882.3886120000002,1654.0270269999999,6149.959468999999,0.0,,0.0,0.0,153.8870613,295.32942,449.2164813,16025.82967
2002,H.2: Expenditure by year,605.6549714,2943.223749,257.33065,3388.8479079999997,1951.223271,860.3746481000001,6200.4458270000005,2934.42359,1972.1828070000001,1712.525709,6619.132106,0.0,,0.0,0.0,198.8517198,397.21133,596.0630497999999,17221.85035
2003,H.2: Expenditure by year,608.3697444000001,3088.014673,193.47445,3446.7020799999996,1913.96895,964.81934,6325.49037,3155.91868,2047.6241260000002,1714.5813870000002,6918.124193000001,0.0,,0.0,0.0,203.2912456,376.4959,579.7871456,17713.260580000002
2004,H.2: Expenditure by year,675.4735896000001,3575.983415,228.38112999999998,3662.76267,2260.28262,1039.714828,6962.760118000001,3364.778192,2159.254902,1770.9353649999998,7294.968459000001,0.0,,0.0,0.0,228.7720557,229.35078,458.1228357,19195.68955
2005,H.2: Expenditure by year,745.0733046,3587.04572,249.2728,4190.30821,2370.88311,1080.9614900000001,7642.15281,3484.09298,2245.375928,1838.344223,7567.813131999999,0.0,,0.0,0.0,271.968906,263.03837999999996,535.007286,20326.36505
2006,H.2: Expenditure by year,790.5838549,4129.426313,298.82655,4447.450892,2568.633418,1317.153095,8333.237406,3945.450721,2349.082038,1914.603731,8209.13649,0.0,,0.0,0.0,281.8622651,359.56196,641.4242251000001,22402.63484
2007,H.2: Expenditure by year,817.1417957,4493.914007,238.17727000000002,4829.42882,2836.0956100000003,1204.4035900000001,8869.928020000001,3934.8950600000003,2478.444372,1958.978859,8372.318291,0.0,,0.0,0.0,293.25651969999996,390.58803,683.8445497,23475.323930000002
2008,H.2: Expenditure by year,875.8085712000001,4765.919059,383.34859,5217.661023,2910.473182,1385.2740390000001,9513.408244,4167.792799,2532.222081,1984.085462,8684.100342,0.0,,0.0,0.0,322.55641099999997,366.29708999999997,688.8535009999999,24911.438309999998
2009,H.2: Expenditure by year,980.7030963999999,5208.592594,390.26917000000003,5164.20125,3135.96111,1274.07258,9574.23494,4302.14112,2704.621374,2052.9337969999997,9059.696291,0.0,,0.0,0.0,291.289199,328.97902,620.268219,25833.76431
2010,H.2: Expenditure by year,983.210589,5583.329535,287.262908,4783.712252,2770.189641,1175.729199,8729.631092,6566.031221,2749.743667,2092.589286,11408.36417,0.0,,0.0,0.0,602.1679491,614.632468,1216.800417,28208.598719999998
2011,H.2: Expenditure by year,1017.842594,5714.019644,355.690666,4539.431974,2815.922216,1231.3938369999998,8586.748028,6577.844196999999,2915.9030850000004,2154.577958,11648.32524,0.0,,0.0,0.0,580.3511872,713.796393,1294.14758,28616.77375
2012,H.2: Expenditure by year,962.0619046,5978.711085,433.50110199999995,4723.958654999999,2632.7733780000003,1588.862171,8945.594204,6488.430947,2999.099955,2184.538285,11672.06919,0.0,,0.0,0.0,628.6806184,685.8559650000001,1314.536583,29306.47407
2013,H.2: Expenditure by year,955.9857787999999,6402.211095,378.555131,4763.193446,2686.642694,1520.2564949999999,8970.092634999999,6529.156076,3052.471877,2200.845494,11782.47345,0.0,,0.0,0.0,568.4789635,630.2539009999999,1198.732865,29688.05095
2014,H.2: Expenditure by year,989.9958051000001,6786.348473,398.713,4880.493872999999,2726.3632989999996,1819.409557,9426.266729,6549.007,3067.022566,2228.074249,11844.103809999999,0.0,,0.0,0.0,953.5274645999999,638.4019999999999,1591.929465,31037.357289999996
2015,H.2: Expenditure by year,1051.636827,7239.243974,447.54808499999996,5352.9901119999995,3017.882842,1683.0370149999999,10053.90997,6553.703183,3184.943319,2307.3256969999998,12045.9722,0.0,,0.0,0.0,1001.7539999999999,566.9656782000001,1568.719678,32407.030730000002
2016,H.2: Expenditure by year,1053.883847,7702.514567,597.4733284,6240.725969,3128.028098,1791.410856,11160.164920000001,6559.1864479999995,3284.602318,2382.564919,12226.35369,0.0,,0.0,0.0,1804.9140350000002,700.2875763,2505.201611,35245.591960000005
1988,H.3: Expenditure by year,274.35969639999996,,0.182932015,1591.070402,127.260306,140.94226819999997,1859.2729760000002,1129.408393,0.0,0.0,1129.408393,0.0,,426.27281849999997,0.0,25.78219758,16.21715455,41.99935213,3731.496168
1989,H.3: Expenditure by year,299.6181042,,0.228210329,1782.6547469999998,145.0536216,157.99310119999998,2085.70147,1259.379638,0.0,0.0,1259.379638,0.0,,660.1797709,0.0,29.34921662,17.01721709,46.36643372,4351.473627
1990,H.3: Expenditure by year,339.7486008,,0.258569728,2000.77916,172.2669445,184.1466531,2357.1927579999997,1465.780835,0.0,0.0,1465.780835,0.0,,665.3774212000001,0.0,31.53179074,17.22079175,48.7525825,4877.110767
1991,H.3: Expenditure by year,386.86736010000004,,0.36820878799999995,2263.6523239999997,197.62508190000003,211.6408671,2672.918273,1670.554897,0.0,0.0,1670.554897,0.0,,746.8375619,0.0,33.96721058,19.24231617,53.20952675,5530.755828
1992,H.3: Expenditure by year,433.56580180000003,,0.5449833270000001,2439.885792,227.5722335,244.7430914,2912.201117,1947.34921,0.0,0.0,1947.34921,0.0,,804.9899955,0.0,39.29996714,21.99738272,61.29734985,6159.948458
1993,H.3: Expenditure by year,466.89847149999997,,0.58249553,2543.186213,246.38025319999997,270.9637055,3060.530171,2089.251021,0.0,0.0,2089.251021,0.0,,1060.039989,0.0,44.55501757,23.67106362,68.22608119,6745.5282290000005
1994,H.3: Expenditure by year,478.68281060000004,,0.756536137,2638.691606,260.914403,301.40540699999997,3201.011416,2105.171757,0.0,0.0,2105.171757,0.0,,1226.3670849999999,0.0,36.29638692,20.36893432,56.66532123,7068.654926
1995,H.3: Expenditure by year,435.0293102,,0.7676653240000001,2777.287813,299.4275644,319.5858753,3396.301253,2350.145447,0.0,0.0,2350.145447,0.0,,1274.07699,0.0,38.59619875,31.25552101,69.85171976,7526.172385
1996,H.3: Expenditure by year,451.4683246,,1.2780875809999999,2890.812371,316.3199545,339.6792707,3546.811596,2476.6369050000003,0.0,0.0,2476.6369050000003,0.0,,1309.053803,0.0,40.49342889,35.62282527,76.11625417,7861.364970999999
1997,H.3: Expenditure by year,492.6808943,,0.280795264,3064.362836,353.44939460000006,383.214716,3801.026946,2785.230528,0.0,0.0,2785.230528,0.0,,1291.4478199999999,0.0,34.39061364,42.17891287,76.56952651,8447.236509999999
1998,H.3: Expenditure by year,581.3859485,,0.48111708,3383.933889,407.9714484,447.24060360000004,4239.145941,3220.5262989999997,0.0,0.0,3220.5262989999997,0.0,,1110.29332,0.0,42.89602885,61.82468827,104.7207171,9256.553343000001
1999,H.3: Expenditure by year,601.22952,,0.72324924,3509.2826609999997,428.52916330000005,467.04207419999994,4404.853899000001,3387.0021380000003,0.0,0.0,3387.0021380000003,0.0,,1333.2467550000001,0.0,49.37158852,64.56874383,113.94033229999998,9840.995894
2000,H.3: Expenditure by year,707.9760244,,1.08423823,3785.411438,485.62800439999995,505.3496039,4776.389046,3866.773229,0.0,0.0,3866.773229,0.0,,1514.4243880000001,0.0,51.70364977,58.60374935,110.3073991,10976.95433
2001,H.3: Expenditure by year,812.2899147,,2.02382882,4191.230478,558.5912697000001,597.138649,5346.960397,4488.958792,0.0,0.0,4488.958792,0.0,,1990.105795,0.0,66.38773948,58.46864591,124.85638540000001,12765.195109999999
