Year,Category,Hospitals ,Other institutions ,Physicians ,Other professionals: Dental services ,Other professionals: Vision care services ,Other professionals: Other services,Total other professionals,Prescribed drugs ,Non-prescribed drugs ,Total drugs,Capital ,Public health ,Administration ,Other health spending: Health research ,Other health spending: Other ,Total other health spending,Grand total 
1995,A.3.1.1: Expenditures by year,24231.469380000002,8610.665421,10615.59086,5468.3788380000005,1778.399012,1266.569306,8513.347155,7399.939673999999,2788.38298,10188.32265,2263.124923,3136.726766,2447.262972,798.0943917999999,3432.78661,4230.881002,74237.39112999999
1996,A.3.1.1: Expenditures by year,24245.38239,8696.612321999999,10771.25554,5648.085476,1831.7591940000002,1310.193653,8790.038323,7604.577455,2846.731211,10451.30867,2159.9759,3277.747413,2463.612479,799.4120242,3426.947898,4226.359922,75082.29295
1997,A.3.1.1: Expenditures by year,24635.29511,8966.3187,11224.841629999999,5879.976886,2189.805948,1516.7131279999999,9586.495962,8531.961855,2976.775659,11508.737509999999,2121.982989,3420.914814,2508.4674609999997,1075.005386,3693.476468,4768.481854,78741.53603999999
1998,A.3.1.1: Expenditures by year,25866.08354,9382.808954,11771.14625,6261.431617,2278.1366559999997,1508.990942,10048.55921,9451.067518,3171.346827,12622.414340000001,2301.486922,4295.32824,2454.307314,1291.366194,4033.7658149999997,5325.132008,84067.26677999999
1999,A.3.1.1: Expenditures by year,27228.907769999998,9974.678466,12408.3503,6758.901681,2349.245231,1707.5404190000002,10815.687329999999,10240.34807,3358.818648,13599.16672,3508.917742,4419.15416,2784.186466,1324.324803,4405.122418999999,5729.447223,90468.49617
2000,A.3.1.1: Expenditures by year,29615.40278,10821.11327,13220.86817,7181.224259999999,2576.573753,1794.078991,11551.877,11724.55683,3420.260258,15144.81709,3965.5224299999995,4896.323176,3109.954461,1579.9611519999999,4703.857687,6283.8188390000005,98609.69722
2001,A.3.1.1: Expenditures by year,31532.18585,11504.28549,14150.000580000002,7767.867178,2761.059899,2008.9979039999998,12537.92498,13173.58586,3536.415639,16710.0015,4508.707252,5601.753599,3727.1328780000003,2072.7399609999998,4856.421950999999,6929.161911,107201.15400000001
2002,A.3.1.1: Expenditures by year,33962.91344,12251.418440000001,15199.233219999998,8251.537239,2799.790058,2026.516439,13077.84374,14760.34734,3684.708516,18445.05586,4933.037485,5814.626884,4160.358534,2057.582613,5154.390055,7211.972669,115056.4603
2003,A.3.1.1: Expenditures by year,36230.66248,12929.976509999999,16281.05219,8480.620743000001,2681.606796,2061.1639760000003,13223.39151,16423.52559,3762.205513,20185.7311,5604.981985,6871.508229,4627.717697,2320.029622,5316.315386,7636.345008,123591.3667
2004,A.3.1.1: Expenditures by year,38898.79837,14205.220280000001,17316.41821,8979.847854000001,3062.4468100000004,2160.625823,14202.92049,17865.921980000003,3930.190267,21796.11225,5511.072586,6977.757223,4881.297490999999,2476.644124,5288.988638000001,7765.632762,131555.2297
2005,A.3.1.1: Expenditures by year,41218.00448,14651.629780000001,18556.571969999997,9671.083784999999,3182.492516,2183.0172469999998,15036.59355,19121.71773,4083.720152,23205.43788,6596.713323,7814.851969,5106.462046,2552.209006,5730.377677,8282.586683,140468.8517
